0,27.1,26.5,20,53,46788,-1,0
1,27.1,28,22,3,50000,1,0
2,27.6,28,23,3,50000,1,3
3,27.2,26.4,28,8,60000,-1,3
4,28.0,24.6,30,3,50000,1,4
5,26.4,28.4,25,43,60235,-1,4
6,26.1,26.9,18,3640,45000,-1,7
7,25.7,27.9,21,3,50000,1,10
8,25.9,28.1,20,3,50000,1,11
9,26.6,29.6,16,570,48665,-1,11
10,26,26.4,27,43,42354,-1,14
11,26.7,26,23,3,50000,1,14
12,26.3,24.7,25,67,51796,-1,15
13,26,28.7,29,3,50000,1,18
14,26.3,26.9,19,3,80093,1,21
15,26.8,27.9,21,2850,35742,-1,24
16,26,28.4,25,25,49000,-1,25
17,25.9,27.3,19,3,50000,-1,26
